"year","driver","constructor","races","wins","podiums","points","avg_grid","avg_finish","dnfs","finish_rate","avg_performance_index"
2011,"Petrov","Renault",19,0,1,37,10.4736842105263,12.9473684210526,4,0.789473684210526,3.9125
2011,"Ricciardo","HRT",11,0,0,0,22.5454545454545,20.8181818181818,2,0.818181818181818,1.275
2011,"Rosberg","Mercedes",19,0,0,89,7.52631578947368,9.47368421052632,2,0.894736842105263,5.85882352941177
2011,"Schumacher","Mercedes",19,0,0,76,10.3157894736842,12.6842105263158,5,0.736842105263158,5.75384615384615
2011,"Senna","Renault",8,0,0,2,11.625,13.875,0,1,1.925
2011,"Sutil","Force India",19,0,0,42,11.5789473684211,11.4736842105263,2,0.894736842105263,4.2
2011,"Trulli","Lotus",18,0,0,0,19.2222222222222,18.7222222222222,4,0.777777777777778,1.55
2011,"Vettel","Red Bull",19,11,17,392,1.26315789473684,2.78947368421053,1,0.947368421052632,15.35
2011,"Webber","Red Bull",19,1,10,258,3.78947368421053,4.47368421052632,1,0.947368421052632,11.3277777777778
2012,"Alonso","Ferrari",20,3,13,278,6.1,5.45,2,0.9,12.0777777777778
2012,"Button","McLaren",20,3,6,188,6.45,8.7,4,0.8,8.57777777777778
2012,"d'Ambrosio","Lotus F1",1,0,0,0,15,13,0,1,2.2
2012,"de la Rosa","HRT",20,0,0,0,21.8421052631579,20.65,5,0.75,1.12666666666667
2012,"di Resta","Force India",20,0,0,46,11.45,11.15,2,0.9,4.02631578947368
2012,"Glock","Marussia",20,0,0,0,20.3684210526316,17.75,2,0.9,1.46842105263158
2012,"Grosjean","Lotus F1",19,0,3,96,7.73684210526316,14,7,0.631578947368421,7.4
2012,"Hamilton","McLaren",20,4,7,190,4.3,10.25,6,0.7,10.3533333333333
2012,"Hülkenberg","Force India",20,0,0,63,11.45,11.3,3,0.85,5.04705882352941
2012,"Karthikeyan","HRT",20,0,0,0,23.1052631578947,22.05,8,0.6,0.963636363636364
2012,"Kobayashi","Sauber",20,0,1,60,11.6,12.85,4,0.8,4.84375
2012,"Kovalainen","Caterham",20,0,0,0,18.45,16.9,1,0.95,1.6
2012,"Maldonado","Williams",20,1,1,45,10.85,14.9,7,0.65,3.94666666666667
2012,"Massa","Ferrari",20,0,2,122,9.85,8.85,1,0.95,6.56315789473684
2012,"Pérez","Sauber",20,0,3,66,12.2,13.7,6,0.7,6.16153846153846
